CaseID,Prefix length,Groud truth,Predicted,Levenshtein,Damerau,Jaccard,Ground truth times,Predicted times,RMSE,MAE
200838,2,¤,¤,1.0,1.0,1.0,179895,375313.0148094084,,195418.0148094084
200859,2,¦¦,¤,0.0,0.0,0.0,2826364,379579.1980816808,,2446784.8019183194
200865,2,¦¦,¤,0.0,0.0,0.0,775016,288416.8387435978,,486599.1612564022
200874,2,¤,¤,1.0,1.0,1.0,162349,529835.2973530684,,367486.29735306837
200907,2,¤,¤,1.0,1.0,1.0,2504137,148788.65840974153,,2355348.3415902583
200925,2,¦,§,0.0,0.0,0.0,89553,688914.372580399,,599361.372580399
200937,2,¤,¤,1.0,1.0,1.0,171282,146844.16573668466,,24437.834263315337
200952,2,¦,§,0.0,0.0,0.0,602569,2327438.8929935857,,1724869.8929935857
200958,2,§,§,1.0,1.0,1.0,1286671,2380932.6906267935,,1094261.6906267935
200970,2,¦,§,0.0,0.0,0.0,606829,2071572.0135159958,,1464743.0135159958
200973,2,¦,¤,0.0,0.0,0.0,243774,146572.41371396286,,97201.58628603714
200979,2,¤,¤,1.0,1.0,1.0,2487111,146596.7377392503,,2340514.26226075
200991,2,£,£,1.0,1.0,1.0,62057,0.0,,62057.0
201003,2,¤,¤,1.0,1.0,1.0,15460,146710.10775814162,,131250.10775814162
201015,2,¦§¥§¥§§,¤,0.0,0.0,0.0,1463255,146488.59613198004,,1316766.40386802
201027,2,¤,¤,1.0,1.0,1.0,2573971,146623.7073157417,,2427347.2926842584
201030,2,¦,¤,0.0,0.0,0.0,703987,146439.83523798885,,557547.1647620111
201036,2,¦§¥,¤,0.0,0.0,0.0,882619,146185.82470793804,,736433.175292062
201039,2,¤,¤,1.0,1.0,1.0,2573721,146480.45886785036,,2427240.5411321498
201042,2,¦,§,0.0,0.0,0.0,3980022,657089.6203363633,,3322932.379663637
201054,2,§,§,1.0,1.0,1.0,698517,1520552.5965479908,,822035.5965479908
201075,2,¤,¤,1.0,1.0,1.0,2573338,146341.1599395289,,2426996.840060471
201078,2,¤,¤,1.0,1.0,1.0,2573074,146249.8570775994,,2426824.1429224005
201081,2,¦,§,0.0,0.0,0.0,2641882,2344856.9012045823,,297025.0987954177
201084,2,¤,¤,1.0,1.0,1.0,22345,148136.00970443847,,125791.00970443847
201096,2,§,§,1.0,1.0,1.0,272007,665421.0754472967,,393414.0754472967
201102,2,£,£,1.0,1.0,1.0,61915,0.0,,61915.0
201111,2,¤,¤,1.0,1.0,1.0,15526,119675.7089931657,,104149.7089931657
201123,2,¤,¤,1.0,1.0,1.0,2570763,120323.00390527403,,2450439.996094726
201129,2,¦§¥§¥§,¤,0.0,0.0,0.0,1270986,119396.40899971036,,1151589.5910002897
201144,2,¦,§,0.0,0.0,0.0,2662979,2075807.7039895575,,587171.2960104425
201147,2,¤,¤,1.0,1.0,1.0,77160,145993.48937396402,,68833.48937396402
201159,2,¤,¤,1.0,1.0,1.0,7911,148115.18382505578,,140204.18382505578
201162,2,¤,¤,1.0,1.0,1.0,5050,146360.99530447982,,141310.99530447982
201165,2,¤,¤,1.0,1.0,1.0,11722,146149.0753687022,,134427.0753687022
201168,2,¤,¤,1.0,1.0,1.0,2573180,146225.7712773019,,2426954.228722698
201171,2,¤,¤,1.0,1.0,1.0,83108,146293.23910208116,,63185.23910208116
201177,2,¦¦,¤,0.0,0.0,0.0,1390563,146606.96887565986,,1243956.0311243401
201208,2,¦,§,0.0,0.0,0.0,608349,2069857.3954200628,,1461508.3954200628
201211,2,§¥§,§,0.33333333333333337,0.33333333333333337,0.5,2069987,2073845.933735652,,3858.9337356518954
201235,2,¦,§,0.0,0.0,0.0,875318,2443410.8303012284,,1568092.8303012284
201238,2,¤,¤,1.0,1.0,1.0,2760,116074.47435857105,,113314.47435857105
201241,2,¤,¤,1.0,1.0,1.0,2652658,208756.89720475956,,2443901.1027952405
201244,2,¦,§,0.0,0.0,0.0,2635535,2370178.9638182656,,265356.0361817344
201289,2,¤,¤,1.0,1.0,1.0,1223,147098.08849963392,,145875.08849963392
201295,2,¦,§,0.0,0.0,0.0,6606,2071789.8765383642,,2065183.8765383642
201307,2,§§,§,0.5,0.5,1.0,1551594,652447.192037892,,899146.807962108
201322,2,§¥§¥§,§,0.19999999999999996,0.19999999999999996,0.5,258382,578202.2424398639,,319820.24243986385
201328,2,¦,¦,1.0,1.0,1.0,2048617,1721479.7780850788,,327137.2219149212
201373,2,¦,¦,1.0,1.0,1.0,2041986,1659974.3988116246,,382011.6011883754
201379,2,¦,¦,1.0,1.0,1.0,2042157,1662701.3978858104,,379455.60211418965
201424,2,§§,§,0.5,0.5,1.0,321234,2308079.3761909846,,1986845.3761909846
201427,2,¦,§,0.0,0.0,0.0,2988097,2316132.082987387,,671964.9170126128
201430,2,¦,§,0.0,0.0,0.0,1286808,2314842.357968228,,1028034.3579682279
201433,2,¦,§,0.0,0.0,0.0,2639595,2313442.4977747775,,326152.50222522253
201436,2,¦¦,¤,0.0,0.0,0.0,319264,183797.2249533873,,135466.7750466127
201439,2,§,§,1.0,1.0,1.0,2505580,2413756.784165423,,91823.2158345771
201442,2,§,§,1.0,1.0,1.0,94171,931821.8126058681,,837650.8126058681
201451,2,¦,¦,1.0,1.0,1.0,182719,1944793.1876125985,,1762074.1876125985
201478,2,¤,¤,1.0,1.0,1.0,11214,151346.4048976617,,140132.4048976617
201484,2,¦§¥§,¤,0.0,0.0,0.0,1113374,150741.52657191802,,962632.473428082
201487,2,¤,¤,1.0,1.0,1.0,2588665,152130.5537974054,,2436534.446202595
201523,2,¤,¤,1.0,1.0,1.0,2586945,136238.8154824098,,2450706.1845175903
201562,2,¤,¤,1.0,1.0,1.0,2583572,134842.46597302146,,2448729.5340269785
201602,2,§§,§,0.5,0.5,1.0,450843,2019205.045161465,,1568362.045161465
201611,2,¦§¥§¥§¥§§,¤,0.0,0.0,0.0,4315644,136452.69137073628,,4179191.3086292637
