CaseID,Prefix length,Groud truth,Predicted,Levenshtein,Damerau,Jaccard,Ground truth times,Predicted times,RMSE,MAE
3087,2,§,§,1.0,1.0,1.0,256462,105397.51660704607,,151064.48339295393
3088,2,©ª©§,©§,0.5,0.5,0.6666666666666666,1888363,116531.18368994222,,1771831.8163100579
3089,2,ª§,§,0.5,0.5,0.5,520705,61441.268948323734,,459263.73105167627
3090,2,§,§,1.0,1.0,1.0,1800,39056.920229636664,,37256.920229636664
3091,2,§§,§,0.5,0.5,1.0,511776,24716.84827627574,,487059.15172372427
3092,2,§,§,1.0,1.0,1.0,8322,28053.254540913993,,19731.254540913993
3093,2,§,§,1.0,1.0,1.0,63707,28650.15660414619,,35056.84339585381
3094,2,§,§,1.0,1.0,1.0,1200770,52546.464393344904,,1148223.535606655
3095,2,§,§,1.0,1.0,1.0,355,38178.33638981166,,37823.33638981166
3096,2,§,§,1.0,1.0,1.0,2073582,39683.72497092606,,2033898.275029074
3098,2,§,§,1.0,1.0,1.0,1834,35630.54299035874,,33796.54299035874
3099,2,ª§,§,0.5,0.5,0.5,967517,34079.15493885516,,933437.8450611448
3100,2,ª©§,§,0.33333333333333337,0.33333333333333337,0.33333333333333326,3024662,32108.28314936618,,2992553.7168506337
3101,2,§,§,1.0,1.0,1.0,3060,54724.18570667793,,51664.18570667793
3102,2,ª§,§,0.5,0.5,0.5,14445,59125.34975174394,,44680.34975174394
3104,2,§,§,1.0,1.0,1.0,603250,21957.836612213505,,581292.1633877865
3105,2,ª§,§,0.5,0.5,0.5,795902,30243.046937343883,,765658.9530626561
3106,2,§§,§,0.5,0.5,1.0,1468100,48905.55493286885,,1419194.4450671312
3107,2,§,§,1.0,1.0,1.0,101552,22565.30011757941,,78986.6998824206
3109,2,§,§,1.0,1.0,1.0,9496,25879.175104178805,,16383.175104178805
3110,2,ª§,§,0.5,0.5,0.5,1187727,14326.997465259501,,1173400.0025347406
3111,2,§,§,1.0,1.0,1.0,422936,31468.343473890753,,391467.65652610926
3114,2,©ª©§,§,0.25,0.25,0.33333333333333326,933457,51172.760629860415,,882284.2393701395
3115,2,ª§,§,0.5,0.5,0.5,3570313,60511.414739531436,,3509801.5852604685
3116,2,§,§,1.0,1.0,1.0,15,34078.87386456171,,34063.87386456171
3117,2,§,§,1.0,1.0,1.0,265,34085.1119004936,,33820.1119004936
3119,2,¢©§,©§,0.6666666666666667,0.6666666666666667,0.6666666666666666,196171,135893.82659430278,,60277.17340569722
3120,2,§,§,1.0,1.0,1.0,13,39432.53522171541,,39419.53522171541
3122,2,ª§,§,0.5,0.5,0.5,498082,57394.246423778306,,440687.7535762217
3123,2,§,§,1.0,1.0,1.0,19877,21967.609232943036,,2090.6092329430357
3124,2,§,§,1.0,1.0,1.0,6364,27251.431183936853,,20887.431183936853
3125,2,§,§,1.0,1.0,1.0,191661,28155.771100414728,,163505.22889958526
3127,2,§,§,1.0,1.0,1.0,1443966,17568.503377058038,,1426397.496622942
3129,2,§,§,1.0,1.0,1.0,1821440,32031.03305323296,,1789408.966946767
