CaseID,Prefix length,Groud truth,Predicted,Levenshtein,Damerau,Jaccard,Ground truth times,Predicted times,RMSE,MAE
200865,2,¦¦,¦§¥§,0.25,0.25,0.33333333333333326,775016,2266324.891949846,,1491308.891949846
200871,2,§§,§¥§,0.6666666666666667,0.6666666666666667,0.5,1295389,2313466.253688251,,1018077.2536882511
200874,2,¤,¦§¥§,0.0,0.0,0.0,162349,2524410.758527504,,2362061.758527504
200877,2,¦¦,¦§,0.5,0.5,0.5,4124239,1976119.3151531536,,2148119.6848468464
200883,2,§¥,§¥§,0.6666666666666667,0.6666666666666667,1.0,1557810,2465101.4790088767,,907291.4790088767
200886,2,¦§§,¦§,0.6666666666666667,0.6666666666666667,1.0,1021193,1980047.33148127,,958854.33148127
200895,2,¦§¥§§,¦§¥§,0.8,0.8,1.0,1809077,2176373.2723353687,,367296.2723353687
200907,2,¤,¦§¥§,0.0,0.0,0.0,2504137,2266993.1327866414,,237143.86721335864
200919,2,¦§§,¦§¥§¥§,0.5,0.5,0.6666666666666666,960019,2600318.025990135,,1640299.025990135
200922,2,¦§¥§¥,¦§¥§,0.8,0.8,1.0,864060,2426501.569296076,,1562441.569296076
200925,2,¦,§¥§,0.0,0.0,0.0,89553,772558.9162487793,,683005.9162487793
200931,2,¦¦,¦§¥§,0.25,0.25,0.33333333333333326,1296556,2428915.0837560105,,1132359.0837560105
200937,2,¤,¦§¥§,0.0,0.0,0.0,171282,2428832.5941563533,,2257550.5941563533
200952,2,¦,§¥§,0.0,0.0,0.0,602569,2315308.567658593,,1712739.567658593
200958,2,§,§¥§,0.33333333333333337,0.33333333333333337,0.5,1286671,2293377.9143577227,,1006706.9143577227
200970,2,¦,§¥§,0.0,0.0,0.0,606829,2334440.238182333,,1727611.2381823328
200973,2,¦,¦§¥§,0.25,0.25,0.33333333333333326,243774,2431146.0079604317,,2187372.0079604317
200976,2,§¥§¥§¥§,§¥§,0.4285714285714286,0.4285714285714286,1.0,674868,772373.3146495505,,97505.31464955048
200979,2,¤,¦§¥§,0.0,0.0,0.0,2487111,2431298.917302416,,55812.08269758383
200982,2,¦§¥§,¦§¥§,1.0,1.0,1.0,4578585,2429386.044855755,,2149198.955144245
200991,2,£,£,1.0,1.0,1.0,62057,51623.767260577435,,10433.232739422565
201000,2,¦§§,¦§¥§,0.75,0.75,0.6666666666666666,1558861,2418900.521556868,,860039.5215568682
201003,2,¤,¦§¥§,0.0,0.0,0.0,15460,2429035.872098366,,2413575.872098366
201009,2,¦§¥§§,¦§¥§,0.8,0.8,1.0,1207108,2429002.1923815287,,1221894.1923815287
201015,2,¦§¥§¥§§,¦§¥§,0.5714285714285714,0.5714285714285714,1.0,1463255,2431465.0961427228,,968210.0961427228
201021,2,§¥§,§¥§,1.0,1.0,1.0,2488280,2298288.444819311,,189991.55518068885
201027,2,¤,¦§¥§,0.0,0.0,0.0,2573971,2429722.295248976,,144248.70475102402
201030,2,¦,¦§¥§,0.25,0.25,0.33333333333333326,703987,2431870.101470363,,1727883.1014703629
201036,2,¦§¥,¦§¥§,0.75,0.75,1.0,882619,2434885.53375795,,1552266.5337579502
201039,2,¤,¦§¥§,0.0,0.0,0.0,2573721,2430704.352376355,,143016.64762364514
201042,2,¦,§¥§,0.0,0.0,0.0,3980022,772852.9099001097,,3207169.0900998903
201054,2,§,§¥§,0.33333333333333337,0.33333333333333337,0.5,698517,1518637.8875685816,,820120.8875685816
201057,2,¦¦,¦§¥§,0.25,0.25,0.33333333333333326,690131,2431299.015232293,,1741168.015232293
201060,2,¦§§,¦§¥§,0.75,0.75,0.6666666666666666,778107,2423169.7500586356,,1645062.7500586356
201072,2,§¥§,§¥§,1.0,1.0,1.0,2438506,1383298.503878376,,1055207.496121624
201075,2,¤,¦§¥§,0.0,0.0,0.0,2573338,2432049.2805018304,,141288.7194981696
201078,2,¤,¦§¥§,0.0,0.0,0.0,2573074,2432956.7885104055,,140117.21148959454
201081,2,¦,§¥§,0.0,0.0,0.0,2641882,2350254.313783255,,291627.68621674506
201084,2,¤,¦§¥§¥§,0.0,0.0,0.0,22345,2910987.976523074,,2888642.976523074
201087,2,¦§§,¦§¥§,0.75,0.75,0.6666666666666666,839887,2434804.398854924,,1594917.398854924
201093,2,¦§¥§§,¦§¥§,0.8,0.8,1.0,1295600,2435099.1188195082,,1139499.1188195082
201096,2,§,§¥§,0.33333333333333337,0.33333333333333337,0.5,272007,773769.5335480616,,501762.5335480616
201099,2,¦§,¦§¥§,0.5,0.5,0.6666666666666666,931024,2331307.8041742975,,1400283.8041742975
201102,2,£,£,1.0,1.0,1.0,61915,51759.97139772412,,10155.028602275881
201111,2,¤,¦§¥§,0.0,0.0,0.0,15526,2327152.125364816,,2311626.125364816
201114,2,¦§¥§,¦§¥§,1.0,1.0,1.0,262076,2321991.318781118,,2059915.318781118
201120,2,¦§¥§,¦§¥§,1.0,1.0,1.0,1455198,2323248.8771347366,,868050.8771347366
201123,2,¤,¦§¥§,0.0,0.0,0.0,2570763,2323827.6263856753,,246935.37361432472
201129,2,¦§¥§¥§,¦§¥§,0.6666666666666667,0.6666666666666667,1.0,1270986,2329562.4897470432,,1058576.4897470432
201144,2,¦,§¥§,0.0,0.0,0.0,2662979,2339678.5889069033,,323300.4110930967
201147,2,¤,¦§¥§,0.0,0.0,0.0,77160,2434749.4112290344,,2357589.4112290344
201150,2,¦§§,¦§¥§,0.75,0.75,0.6666666666666666,1295596,2428877.029838005,,1133281.029838005
201153,2,§¥§,§¥§,1.0,1.0,1.0,2133165,2332792.9760443424,,199627.9760443424
201159,2,¤,¦§¥§¥§,0.0,0.0,0.0,7911,2911895.770160457,,2903984.770160457
201162,2,¤,¦§¥§,0.0,0.0,0.0,5050,2430496.0310456813,,2425446.0310456813
201165,2,¤,¦§¥§,0.0,0.0,0.0,11722,2433443.704019265,,2421721.704019265
201168,2,¤,¦§¥§,0.0,0.0,0.0,2573180,2432721.275317241,,140458.72468275903
201171,2,¤,¦§¥§,0.0,0.0,0.0,83108,2432036.100772562,,2348928.100772562
201177,2,¦¦,¦§¥§,0.25,0.25,0.33333333333333326,1390563,2431327.1455894373,,1040764.1455894373
201208,2,¦,§¥§,0.0,0.0,0.0,608349,2332127.0120771853,,1723778.0120771853
201211,2,§¥§,§¥§,1.0,1.0,1.0,2069987,2337525.7801009705,,267538.7801009705
201217,2,¦§,¦§¥§,0.5,0.5,0.6666666666666666,709622,2418030.651264321,,1708408.651264321
201226,2,¦§¥§,¦§¥§,1.0,1.0,1.0,1368834,2325968.455103332,,957134.4551033322
201229,2,¦§,¦§¥§,0.5,0.5,0.6666666666666666,1290114,2430948.801670788,,1140834.8016707879
201232,2,¦§¥§¥§,¦§¥§,0.6666666666666667,0.6666666666666667,1.0,1374331,2432772.1009233613,,1058441.1009233613
201235,2,¦,§¥§,0.0,0.0,0.0,875318,2410206.837537594,,1534888.8375375941
201238,2,¤,¦§¥§,0.0,0.0,0.0,2760,2334731.4653146407,,2331971.4653146407
